# ---------------------------------- WARNING ----------------------------------------,,,,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,,,,
# may not have received Director's approval. Any such data values are qualified,,,,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,,,,
# for any damages resulting from its use.,,,,,,,
#,,,,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,,,,
#,,,,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,,,,
#,,,,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,,,,
# retrieved: 2020-02-12 03:23:56 EST       (nadww01),,,,,,,
#,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,
#    USGS 01632900 SMITH CREEK NEAR NEW MARKET, VA,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,
#,,,,,,,
# Data provided for site 01632900,,,,,,,
#            TS   parameter     Description,,,,,,,
#        146482       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius,,,,
#        146484       63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU), [YSI 6136]
#        146485       00300     Dissolved oxygen, water, unfiltered, milligrams per liter,,,,
#        217800       63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU), [YSI EXO]
#,,,,,,,
# Data-value qualification codes included in this output:,,,,,,,
#        ,,,,,,,
#     A  Approved for publication -- Processing and review completed.,,,,,,,
# ,,,,,,,
"agency_cd	site_no	datetime	tz_cd	146482_00095	146482_00095_cd	146484_63680	146484_63680_cd	146485_00300	146485_00300_cd",,,,,,,
"5s	15s	20d	6s	14n	10s	14n	10s	14n	10s",,,,,,,
"USGS	01632900	2017-01-27 00:00	EST	467	A	8.3	A	10.4	A",,,,,,,
"USGS	01632900	2017-01-27 00:15	EST	467	A			10.4	A",,,,,,,
"USGS	01632900	2017-01-27 00:30	EST	467	A	7.8	A	10.4	A",,,,,,,
"USGS	01632900	2017-01-27 00:45	EST	467	A	8.0	A	10.4	A",,,,,,,
"USGS	01632900	2017-01-27 01:00	EST	468	A	7.5	A	10.4	A",,,,,,,
"USGS	01632900	2017-01-27 01:15	EST	468	A	8.6	A	10.4	A",,,,,,,
"USGS	01632900	2017-01-27 01:30	EST	469	,	8.7	,	10.4	,",,,,,,,
"USGS	01632900	2017-01-27 01:45	EST	468	,			10.4	,",,,,,,,
"USGS	01632900	2017-01-27 02:00	EST	469	A	7.8	A	10.4	A",,,,,,,
"USGS	01632900	2017-01-27 02:15	EST	469	A	8.5	A	10.4	A",,,,,,,
"USGS	01632900	2017-01-27 02:30	EST	469	A			10.4	A",,,,,,,
"USGS	01632900	2017-01-27 02:45	EST	469	A	11.5	A	10.4	A",,,,,,,
"USGS	01632900	2017-01-27 03:00	EST	470	A	11.2	A	10.4	A",,,,,,,
"USGS	01632900	2017-01-27 03:15	EST	470	A	9.1	A	10.4	A",,,,,,,
"USGS	01632900	2017-01-27 03:30	EST	470	A	6.9	A	10.4	A",,,,,,,
"USGS	01632900	2017-01-27 03:45	EST	470	A	7.4	A	10.4	A",,,,,,,
"USGS	01632900	2017-01-27 04:00	EST	470	A	7.6	A	10.4	A",,,,,,,
"USGS	01632900	2017-01-27 04:15	EST	471	A			10.4	A",,,,,,,
"USGS	01632900	2017-01-27 04:30	EST	471	A			10.4	A",,,,,,,
"USGS	01632900	2017-01-27 04:45	EST	471	A	7.7	A	10.4	A",,,,,,,
"USGS	01632900	2017-01-27 05:00	EST	471	A	9.8	A	10.4	A",,,,,,,
"USGS	01632900	2017-01-27 05:15	EST	472	A			10.5	A",,,,,,,
"USGS	01632900	2017-01-27 05:30	EST	472	A	6.3	A	10.5	A",,,,,,,
"USGS	01632900	2017-01-27 05:45	EST	472	A	7.4	A	10.5	A",,,,,,,
"USGS	01632900	2017-01-27 06:00	EST	473	A			10.5	A",,,,,,,
