date_time,SC(uS),Turb(FNU),DO(mg/L)
2017-02-25 00:00,487,1.5,8.9
2017-02-25 00:15,488,1.8,8.8
2017-02-25 00:30,489,2.0,8.7
2017-02-25 00:45,487,1.8,8.6
2017-02-25 01:00,488,1.4,8.6
2017-02-25 01:15,488,2.4,8.5
2017-02-25 01:30,488,1.4,8.4
2017-02-25 01:45,489,1.8,8.4
2017-02-25 02:00,492,1.6,8.3
2017-02-25 02:15,491,1.8,8.3
2017-02-25 02:30,491,1.7,8.2
2017-02-25 02:45,492,1.6,8.2
2017-02-25 03:00,492,4.1,8.1
2017-02-25 03:15,491,1.8,8.1
2017-02-25 03:30,492,1.8,8.1
2017-02-25 03:45,493,2.1,8.0
2017-02-25 04:00,490,1.6,8.0
2017-02-25 04:15,489,1.7,8.0
2017-02-25 04:30,490,2.2,8.0
2017-02-25 04:45,493,1.5,8.0
2017-02-25 05:00,494,2.1,7.9
2017-02-25 05:15,496,2.0,7.9
2017-02-25 05:30,495,1.9,7.9
2017-02-25 05:45,495,1.5,7.9
2017-02-25 06:00,495,2.0,7.9
2017-02-25 06:15,496,1.6,7.9
2017-02-25 06:30,495,1.5,7.9
2017-02-25 06:45,494,1.5,7.9
2017-02-25 07:00,495,1.7,7.9
2017-02-25 07:15,495,1.3,7.9
2017-02-25 07:30,498,1.4,7.9
2017-02-25 07:45,496,1.2,8.0
2017-02-25 08:00,500,1.1,8.0
2017-02-25 08:15,497,1.2,8.1
2017-02-25 08:30,498,1.1,8.2
2017-02-25 08:45,499,1.1,8.4
2017-02-25 09:00,499,1.0,8.5
2017-02-25 09:15,499,1.1,8.6
2017-02-25 09:30,500,1.1,8.6
2017-02-25 09:45,500,1.0,8.6
2017-02-25 10:00,501,1.1,8.6
2017-02-25 10:15,501,0.9,8.8
2017-02-25 10:30,501,0.8,8.9
2017-02-25 10:45,500,0.9,9.1
2017-02-25 11:00,501,1.0,9.2
2017-02-25 11:15,501,0.8,9.2
2017-02-25 11:30,503,0.8,9.2
2017-02-25 11:45,503,1.0,9.3
2017-02-25 12:00,503,1.0,9.5
2017-02-25 12:15,503,0.8,9.5
2017-02-25 12:30,503,0.9,9.7
2017-02-25 12:45,503,1.0,9.8
2017-02-25 13:00,504,0.9,9.9
2017-02-25 13:15,504,1.2,9.9
2017-02-25 13:30,504,1.0,9.8
2017-02-25 13:45,505,0.8,9.7
2017-02-25 14:00,505,0.9,9.6
2017-02-25 14:15,505,1.1,9.7
2017-02-25 14:30,505,1.0,9.8
2017-02-25 14:45,505,0.8,9.9
2017-02-25 15:00,505,1.0,10.0
2017-02-25 15:15,505,1.1,9.9
2017-02-25 15:30,505,1.0,9.9
2017-02-25 15:45,506,1.1,9.8
2017-02-25 16:00,505,0.9,9.9
2017-02-25 16:15,505,1.1,10.0
2017-02-25 16:30,505,1.0,10.1
2017-02-25 16:45,504,0.9,10.1
2017-02-25 17:00,504,1.0,10.1
2017-02-25 17:15,504,0.9,10.0
2017-02-25 17:30,504,1.1,9.9
2017-02-25 17:45,504,0.9,9.9
2017-02-25 18:00,503,1.3,9.9
